TIME,TIME_plus_0.04644,VALUE,DURATION
0.30186,0.3483,2,0.51374
0.78077,0.82721,4,1.76181
0.81705,0.86349,2,0.95202
1.76907,1.81551,2,0.38748
2.15655,2.20299,2,0.41215
2.54549,2.59193,4,1.66313
2.56871,2.61515,2,0.15819
2.72689,2.77333,2,0.24961
2.97651,3.02295,2,0.47891
3.45397,3.50041,2,1.48027
4.51628,4.56272,4,1.56735
4.93714,4.98358,2,0.37587
5.31302,5.35946,2,0.37007
5.68308,5.72952,2,0.40925
6.07057,6.11701,4,1.48463
6.09234,6.13878,2,0.37442
6.46676,6.5132,2,0.32943
6.79619,6.84263,2,0.37878
7.17497,7.22141,2,0.39474
7.561,7.60744,4,0.73578
7.56971,7.61615,3,0.38748
7.57116,7.6176,2,0.78948
7.95719,8.00363,3,0.402
8.30839,8.35483,4,0.76916
8.35918,8.40562,3,0.35556
8.36063,8.40707,2,0.72998
8.71474,8.76118,3,0.39184
9.08626,9.1327,4,1.20599
9.10658,9.15302,3,0.41361
9.10948,9.15592,2,1.19147
9.11238,9.15882,1,2.91265
9.52018,9.56662,3,0.38023
9.90041,9.94685,3,0.4107
10.29515,10.34159,4,0.48036
10.29515,10.34159,3,0.48327
10.32853,10.37497,2,0.44844
10.73633,10.78277,4,0.41361
10.77551,10.82195,3,0.81995
10.77696,10.8234,2,0.39039
11.15138,11.19782,4,0.4078
11.16735,11.21379,2,0.42957
11.55918,11.60562,4,0.50068
11.59692,11.64336,2,0.4644
11.59837,11.64481,3,0.46295
12.05986,12.1063,3,0.4615
12.05986,12.1063,1,0.48472
12.06132,12.10776,2,0.4644
12.06422,12.11066,4,0.46295
12.52571,12.57215,2,0.60227
13.12798,13.17442,2,0.73578
13.86376,13.9102,2,1.12907
14.99283,15.03927,2,0.58921
15.58204,15.62848,2,0.06676
15.6488,15.69524,2,0.4078
16.0566,16.10304,2,0.42812
16.48472,16.53116,2,0.42376
16.90848,16.95492,2,0.52535
17.43383,17.48027,2,0.86349
18.29732,18.34376,2,0.05805
18.35537,18.40181,2,0.34685
18.70222,18.74866,2,0.44263
19.14485,19.19129,2,0.32943
19.47429,19.52073,2,0.39619
19.87048,19.91692,2,0.28735
20.15782,20.20426,2,0.12771
20.28553,20.33197,2,0.55873
20.84426,20.8907,2,0.05079
20.89506,20.9415,2,0.97814
21.8732,21.91964,2,0.44408
22.31728,22.36372,2,0.50213
22.81941,22.86585,2,0.91138
23.73079,23.77723,2,1.06957
24.80036,24.8468,2,1.09859
25.89896,25.9454,2,0.62694
26.5259,26.57234,2,0.51519
27.04109,27.08753,2,0.43102
27.47211,27.51855,2,0.43973
27.91184,27.95828,2,0.61968
28.53152,28.57796,2,0.4673
28.99882,29.04526,2,0.47746
29.47628,29.52272,2,0.64871
30.12499,30.17143,2,0.71692
30.8419,30.88834,2,0.50649
31.34839,31.39483,2,0.40925
31.75764,31.80408,2,0.4078
32.16544,32.21188,2,0.45424
32.61968,32.66612,2,0.53986
33.15955,33.20599,2,1.15229
34.31184,34.35828,2,0.50649
34.81832,34.86476,2,0.41941
35.23773,35.28417,2,0.4078
35.64553,35.69197,2,0.18866
35.8342,35.88064,2,0.22204
36.05624,36.10268,2,0.53986
36.5961,36.64254,2,0.67048
37.26658,37.31302,2,1.48753
38.7541,38.80054,2,1.97079
40.7249,40.77134,2,0.53406
41.25896,41.3054,2,0.94476
42.20372,42.25016,2,0.50649
42.7102,42.75664,2,0.57179
43.282,43.32844,2,1.08118
44.36317,44.40961,2,0.6342
44.99737,45.04381,2,0.4644
45.46177,45.50821,2,1.13923
46.601,46.64744,2,0.32218
46.92317,46.96961,2,1.23356
48.15673,48.20317,2,0.72127
48.878,48.92444,2,0.48036
49.35837,49.40481,2,0.45134
49.80971,49.85615,2,0.42957
50.23927,50.28571,2,0.42522
50.66449,50.71093,2,0.41941
51.0839,51.13034,2,0.47746
51.56136,51.6078,2,0.50358
52.06494,52.11138,2,1.14068
53.20562,53.25206,2,0.521
53.72662,53.77306,2,0.39619
54.12281,54.16925,2,0.43828
54.56109,54.60753,2,0.1756
54.73669,54.78313,2,0.31057
55.04726,55.0937,2,0.59791
55.64517,55.69161,2,0.46295
56.10812,56.15456,2,0.37587
56.48399,56.53043,2,1.73424
58.21823,58.26467,2,0.9317
60.11501,60.16145,2,0.50794
60.62295,60.66939,2,1.07973
61.70268,61.74912,2,0.5863
62.28898,62.33542,2,0.61968
62.90866,62.9551,2,1.24662
64.2888,64.33524,2,0.54132
65.24807,65.29451,2,0.5239
65.77197,65.81841,2,1.54413
67.3161,67.36254,2,1.19583
68.51193,68.55837,2,0.29896
68.81088,68.85732,2,1.14939
69.96027,70.00671,2,0.19737
70.15764,70.20408,2,1.32789
71.48553,71.53197,2,1.69796
73.18349,73.22993,2,0.21043
73.39392,73.44036,2,0.17705
73.57098,73.61742,2,0.13206
73.70304,73.74948,2,0.14222
73.84526,73.8917,2,0.12626
73.97152,74.01796,2,0.1132
74.08472,74.13116,2,0.11029
74.19501,74.24145,2,0.13061
74.32562,74.37206,2,0.1219
74.44753,74.49397,2,0.13351
74.58104,74.62748,2,0.14948
74.73052,74.77696,2,0.1727
74.90322,74.94966,2,0.19011
75.09333,75.13977,2,0.23655
75.32989,75.37633,2,0.46005
